,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,1B,2B,Stolen Base 2B,641796,Tim Locastro,642546,Jonathan Hernández,606466,Ketel Marte,R,Sam Huff,669087,7,3,8,False,2020-09-23,Stolen,2B,2020,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6
1,1,1,1,1,1,1B,2B,Stolen Base 2B,502210,Josh Reddick,667463,John King,455117,Martín Maldonado,L,Sam Huff,669087,1,0,4,False,2020-09-15,Stolen,2B,2020,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6
2,2,2,2,2,2,1B,2B,Stolen Base 2B,641796,Tim Locastro,642546,Jonathan Hernández,606466,Ketel Marte,R,Sam Huff,669087,7,3,8,False,2020-09-23,Stolen,2B,2020,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6
3,3,3,3,3,3,1B,2B,Stolen Base 2B,502210,Josh Reddick,667463,John King,455117,Martín Maldonado,L,Sam Huff,669087,1,0,4,False,2020-09-15,Stolen,2B,2020,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6
4,4,4,4,4,4,1B,2B,Stolen Base 2B,641796,Tim Locastro,642546,Jonathan Hernández,606466,Ketel Marte,R,Sam Huff,669087,7,3,8,False,2020-09-23,Stolen,2B,2020,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6
5,5,5,5,5,5,1B,2B,Stolen Base 2B,502210,Josh Reddick,667463,John King,455117,Martín Maldonado,L,Sam Huff,669087,1,0,4,False,2020-09-15,Stolen,2B,2020,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6,2021,30.6
6,6,6,6,6,6,1B,2B,Stolen Base 2B,657656,Ramón Laureano,657248,Glenn Otto,669221,Sean Murphy,R,Sam Huff,669087,3,4,5,True,2022-07-12,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
7,7,7,7,7,7,2B,,Caught Stealing 3B,664913,Seth Brown,669618,Joe Barlow,462101,Elvis Andrus,R,Sam Huff,669087,3,5,8,True,2022-07-12,Caught,3B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
8,8,8,8,8,8,1B,2B,Stolen Base 2B,643289,Mauricio Dubón,621368,Taylor Hearn,514888,Jose Altuve,L,Sam Huff,669087,0,2,2,True,2022-06-13,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
9,9,9,9,9,9,1B,2B,Stolen Base 2B,673357,Luis Robert Jr.,668338,Tyson Miller,547989,José Abreu,R,Sam Huff,669087,2,2,6,False,2022-06-10,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
10,10,10,10,10,10,2B,3B,Stolen Base 3B,673357,Luis Robert Jr.,668338,Tyson Miller,547989,José Abreu,R,Sam Huff,669087,2,2,6,False,2022-06-10,Stolen,3B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
11,11,11,11,11,11,1B,2B,Stolen Base 2B,642708,Amed Rosario,592351,Jon Gray,608070,José Ramírez,R,Sam Huff,669087,1,1,3,False,2022-06-07,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
12,12,12,12,12,12,1B,2B,Stolen Base 2B,642708,Amed Rosario,592351,Jon Gray,608070,José Ramírez,R,Sam Huff,669087,5,1,4,False,2022-06-07,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
13,13,13,13,13,13,1B,2B,Stolen Base 2B,640458,Óscar Mercado,572070,Garrett Richards,665926,Andrés Giménez,R,Sam Huff,669087,6,3,7,False,2022-06-07,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
14,14,14,14,14,14,1B,2B,Stolen Base 2B,664702,Myles Straw,622250,Josh Sborz,642708,Amed Rosario,R,Sam Huff,669087,6,3,8,False,2022-06-07,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
15,15,15,15,15,15,2B,3B,Stolen Base 3B,664702,Myles Straw,622250,Josh Sborz,680911,Owen Miller,R,Sam Huff,669087,6,3,8,False,2022-06-07,Stolen,3B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
16,16,16,16,16,16,1B,2B,Stolen Base 2B,608070,José Ramírez,622250,Josh Sborz,680911,Owen Miller,R,Sam Huff,669087,6,3,8,False,2022-06-07,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
17,17,17,17,17,17,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,657248,Glenn Otto,553993,Eugenio Suárez,R,Sam Huff,669087,0,0,4,True,2022-06-04,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
18,18,18,18,18,18,1B,2B,Stolen Base 2B,462101,Elvis Andrus,621368,Taylor Hearn,664913,Seth Brown,L,Sam Huff,669087,0,4,4,False,2022-05-28,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
19,19,19,19,19,19,1B,2B,Stolen Base 2B,542194,Christian Bethancourt,527048,Martín Pérez,462101,Elvis Andrus,L,Sam Huff,669087,0,1,2,False,2022-05-26,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
20,20,20,20,20,20,1B,2B,Stolen Base 2B,596115,Trevor Story,657248,Glenn Otto,614173,Franchy Cordero,R,Sam Huff,669087,1,7,5,True,2022-05-14,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
21,21,21,21,21,21,2B,3B,Stolen Base 3B,593160,Whit Merrifield,519043,Matt Moore,643217,Andrew Benintendi,L,Sam Huff,669087,1,4,9,True,2022-05-11,Stolen,3B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
22,22,22,22,22,22,1B,2B,Stolen Base 2B,670032,Nicky Lopez,519043,Matt Moore,643217,Andrew Benintendi,L,Sam Huff,669087,1,4,9,True,2022-05-11,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
